Top queries,Clicks,Impressions,CTR,Position,anomaly_score,pca1,pca2
number guessing game python,5223,14578,35.83,1.61,1,0.8292994878014511,16.102857658317905
thecleverprogrammer,2809,3456,81.28,1.02,1,-2.3876989811524467,8.672829838285619
python projects with source code,2077,73380,2.83,5.94,1,8.181446028812365,12.643490154134923
classification report in machine learning,2012,4959,40.57,1.28,1,-0.754309468621037,6.004588459661427
the clever programmer,1931,2528,76.38,1.09,1,-2.3901138501931234,5.9997203394670375
standard scaler in machine learning,1559,7292,21.38,1.53,1,0.18730797028869342,4.6900848741939205
aman kharwal,1490,5752,25.9,3.75,1,0.355348002202313,4.226294617830724
python turtle graphics code,1455,13585,10.71,4.6,1,1.8538457139830213,4.699046846801202
python game projects with source code,1421,4946,28.73,2.23,1,-0.1746762052785356,4.091983298587379
clever programmer,1243,21566,5.76,4.82,1,2.8160698302037783,4.86351181048095
rock paper scissors python,1111,35824,3.1,7.19,1,4.7732863452167935,5.797983152276219
classification report,933,39896,2.34,7.53,1,5.238946563849548,5.68926506802574
machine learning roadmap,708,42715,1.66,8.97,1,5.821499638559115,5.233561988171026
r2 score,367,56322,0.65,9.33,1,7.180608614418243,5.671173534692069
facebook programming languages,346,36055,0.96,1.58,1,3.5284645599071487,4.022433988473135
text to handwriting,222,11283,1.97,28.52,1,7.121134199220764,-0.9278639285942396
standardscaler,177,39267,0.45,10.23,1,5.751649678129059,3.243323922435821
data science research topics,118,1718,6.87,23.6,1,4.924909247081122,-1.819496713618942
water quality analysis,56,7359,0.76,27.56,1,6.5608632441155805,-1.765267301865085
python turtle,52,18228,0.29,18.75,1,5.646953735411579,0.019628084705283013
